var,labname
Q23AU,Q23AU
Q23_7_TEXTAU,
Q23DE,Q23DE
Q23_7_TEXTDE,
Q23DK,Q23DK
Q23_10_TEXT,
Q23ES,Q23ES
Q23_14_TEXTES,
Q23FLA,Q23FLA
Q23_14_TEXTFLA,
Q23FR,Q23FR
Q23_26_TEXTFR,
Q23HU,Q23HU
Q23_14_TEXTHU,
Q23IT,Q23IT
Q23_10_TEXTIT,
Q23NL,Q23NL
Q23NL_14_TEXT,
Q23PL,Q23PL
Q23_10_TEXTPL,
Q23PT,Q23PT
Q23_9_TEXTPT,
Q23RO,Q23RO
Q23_7_TEXTRO,
Q23SW,Q23SW
Q23_9_TEXTSW,
Q23WAL,Q23FLA
Q23_14_TEXTWAL,
Q23voterecwave2FLA,Q23FLA
Q23voterec_14_TEXTwave2FLA,
Q24AU,Q24AU
Q24_8_TEXTAU,
Q24DE,Q24DE
Q24_8_TEXTDE,
Q24DK,Q24DK
Q24_11_TEXTDK,
Q24ES,Q241bES
Q24_24_TEXTES,
Q24FLA,Q24FLA
Q24_24_TEXTFLA,
Q24FR,Q24FR
Q24_24_TEXTFR,
Q24HU,Q24HU
Q24_24_TEXTHU,
Q24IT,Q24IT
Q24_8_TEXTIT,
Q24NL,Q24NL
Q24NL_14_TEXT,
Q24PL,Q24PL
Q24_24_TEXTPL,
Q24PT,Q24PT
Q24_24_TEXTPT,
Q24RO,Q24RO
Q24_24_TEXTRO,
Q24SW,Q24SW
Q24_24_TEXTSW,
Q24WAL,Q24FLA
Q24_24_TEXTWAL,
Q24wave1bAU,Q24AU
Q24_8_TEXTwave1bAU,
Q24wave1bDE,Q24DE
Q24_8_TEXTwave1bDE,
Q241bES,Q241bES
Q24_24_TEXT1bES,
Q24ITwave1b,Q24ITwave1b
Q24_8_TEXTwave1bIT,
Q24wave1bFR,Q24FR
Q24_24_TEXTwave1bFR,
Q24_NL,Q24NL
Q24_NL_TEXT,
Q24wave1bPL,Q24PL
Q24_24_TEXTwave1bPL,
Q24wave1bPT,Q24PT
Q24_24_TEXTwave1bPT,
Q24wave1bRO,Q24RO
Q24_24_TEXTwave1bRO,
Q24wave1bSW,Q24wave1bSW
Q24_24_TEXTwave1bSW,
