empty,cntry,pty_abbr,allied,parlgov name,date,pct,pct_vv
1,AT,FLO,,,15/10/2017,0.144,0.18
1,AT,FPO,,FPO,15/10/2017,20.8,26
1,AT,GILT,,GILT,15/10/2017,0.8,1
1,AT,Grune,,Gruene,15/10/2017,3.04,3.8
1,AT,Jetzt,,PILZ,15/10/2017,3.52,4.4
1,AT,KPO,,,,0.624,0.78
1,AT,Liste Martin,,,,0,0
1,AT,NEOS,,NEOS,15/10/2017,4.24,5.3
1,AT,OVP,,OVP,15/10/2017,25.2,31.5
1,AT,SLP,,,,0.008,0.01
1,AT,SPO,,SPO,15/10/2017,21.52,26.9
1,AT,NO-VOTE,,,,20,
1,DE,AfD,,AfD,24/09/2017,9.6012,12.6
1,DE,B90/Gru,,B90/Gru,24/09/2017,6.7818,8.9
1,DE,CDU,,CDU,24/09/2017,25.146,33
1,DE,DKP,,,,0.0381,0.05
1,DE,FDP,,FDP,24/09/2017,8.1534,10.7
1,DE,LINKE,,PDS|Li,24/09/2017,7.0104,9.2
1,DE,MLPD,,,,0.0762,0.1
1,DE,NPD,,,,0.3048,0.4
1,DE,Piraten,,,,0.3048,0.4
1,DE,SPD,,SPD,24/09/2017,15.621,20.5
1,DE,NO-VOTE,,,,23.8,
1,ES,BNG,,,,0.12635,0.19
1,ES,C|AV,,C|AV,26/06/2016,1.8221,2.74
1,ES,CC,,CC,26/06/2016,0.21945,0.33
1,ES,CDC|JxCat,,CDC|JxCat,26/06/2016,1.33665,2.01
1,ES,PdeCat,CDC|JxCat,,,,
1,ES,Cs,,Cs,26/06/2016,8.67825,13.05
1,ES,CUP,,,,0,0
1,ES,ECP,Podemos,,,,
1,ES,EHB,,EHB,26/06/2016,0.51205,0.77
1,ES,EM|GCE,,EM|GCE,26/06/2016,0.9576,1.44
1,ES,Equo,Podemos,,,,
1,ES,ERC,,ERC,26/06/2016,1.74895,2.63
1,ES,ICV,Podemos,,,,
1,ES,IU,Podemos,,,,
1,ES,Podemos+IU,Podemos,,,,
1,ES,PCC,PCPE,,,,
1,ES,PCPE,,,,0.07315,0.11
1,ES,PNV,,,,0.79135,1.19
1,ES,Podemos,,,,14.06475,21.15
1,ES,PP,,,,21.95165,33.01
1,ES,PSOE,,PSOE,26/06/2016,15.0689,22.66
1,ES,UPN,PPP,,,,
1,ES,UPyD,,,,0.13965,0.21
1,ES,VOX,,,,0.133,0.2
1,ES,NO-VOTE,,,,33.5,
1,FR,AC,,,,0.1948,0.4
1,FR,DLF,,DLR|DLF,18/06/2017,0.56979,1.17
1,FR,EELV,,,,2.0941,4.3
1,FR,FG (PCF+PG),PCF,,,,
1,FR,FI,,FI,18/06/2017,5.37161,11.03
1,FR,LO,,,,0.00487,0.01
1,FR,LR,,UMP|LR,18/06/2017,7.67999,15.77
1,FR,LREM,,REM,18/06/2017,13.73827,28.21
1,FR,MoDem,,UDF|MD,18/06/2017,2.00644,4.12
1,FR,MPF,,,,0.00487,0.01
1,FR,NPA,,,,0.00487,0.01
1,FR,PCF,,PCF,18/06/2017,1.32464,2.72
1,FR,PRG,,PRG,18/06/2017,0.22889,0.47
1,FR,PS,,PS,18/06/2017,3.62328,7.44
1,FR,Rad,UDI,,,,
1,FR,RN,,FN,18/06/2017,6.4284,13.2
1,FR,UDI,,UDI,18/06/2017,1.47561,3.03
1,FR,NO-VOTE,,,,51.3,
1,HU,DK,,DK,08/04/2018,3.770814,5.37
1,HU,Egyutt,,Egyutt,08/04/2018,0.463452,0.66
1,HU,Fidesz-KDNP,,Fi+KDNP,08/04/2018,34.604416,49.28
1,HU,Fidesz,Fidesz-KDNP,,,,
1,HU,JOBBIK,,Jobbik,08/04/2018,13.383932,19.06
1,HU,KDNP,Fidesz-KDNP,,,,
1,HU,LMP,,LMP,08/04/2018,4.957532,7.06
1,HU,MIEP,,,,0.10533,0.15
1,HU,MMP,,MMP,08/04/2018,0.189594,0.27
1,HU,Momentum,,,,2.148732,3.06
1,HU,MSZP,,MSZP,08/04/2018,8.363202,11.91
1,HU,PM,MSZP,,,,
1,HU,NO-VOTE,,,,29.78,
1,IT,CD,PD,,,,
1,IT,CPI,,,,0.62694,0.86
1,IT,FdI,,FdI-CN,04/03/2018,3.17115,4.35
1,IT,FI,,FI-PdL,04/03/2018,10.206,14
1,IT,FN - FT,,,,0.3645,0.5
1,IT,IdV,,IdV,04/03/2018,0.39366,0.54
1,IT,Insieme,,,04/03/2018,0.42282,0.58
1,IT,La Destra,LN,,,,
1,IT,LeU,,,,2.39112,3.28
1,IT,LN,,LN,04/03/2018,12.67731,17.39
1,IT,M5S,,M5S,04/03/2018,24.29757,33.33
1,IT,MSFT,,,,0.27702,0.38
1,IT,PaP,,,,0.82377,1.13
1,IT,PCL,PSR,,,,
1,IT,PCI,,,04/03/2018,0.24057,0.33
1,IT,PD,,PD,04/03/2018,13.67604,18.76
1,IT,Piu Europa,,#NAME?,04/03/2018,1.86624,2.56
1,IT,RI,Piu Europa,,,,
1,IT,PRC,,PRC,04/03/2018,0.82377,1.13
1,IT,PSR,,,,0.06561,0.09
1,IT,RC,,,,,
1,IT,SC,PSR,,,,
1,IT,SI,,S,04/03/2018,2.47131,3.39
1,IT,SVP,,SVP,04/03/2018,0.29889,0.41
1,IT,Ncl+UdC,,,04/03/2018,0.9477,1.3
1,IT,NcI,Ncl+UdC,,,,
1,IT,UdC,Ncl+UdC,,,,
1,IT,NO-VOTE,,,,27.1,
1,NL,50PLUS,,50+,15/03/2017,2.5389,3.1
1,NL,CDA,,CDA,15/03/2017,10.1556,12.4
1,NL,CU,,CU,15/03/2017,2.7846,3.4
1,NL,D66,,D66,15/03/2017,9.9918,12.2
1,NL,DENK,,DENK,15/03/2017,1.7199,2.1
1,NL,FvD,,FvD,15/03/2017,1.4742,1.8
1,NL,GL,,GL,15/03/2017,7.4529,9.1
1,NL,PvdA,,PvdA,15/03/2017,4.6683,5.7
1,NL,PVdD,,PvdD,15/03/2017,2.6208,3.2
1,NL,PVV,,PVV,15/03/2017,10.7289,13.1
1,NL,SGP,,SGP,15/03/2017,1.7199,2.1
1,NL,SP,,SP,15/03/2017,7.4529,9.1
1,NL,VVD,,VVD,15/03/2017,17.4447,21.3
1,NL,NO-VOTE,,,,18.1,
1,PL,KNP,,,,0.015276,0.03
1,PL,KORWiN,,KORWIN,25/10/2015,2.423792,4.76
1,PL,Kukiz,,K,25/10/2015,4.486052,8.81
1,PL,LR,,Razem,25/10/2015,1.843304,3.62
1,PL,N,,N,25/10/2015,3.86992,7.6
1,PL,PiS,,PiS,25/10/2015,19.135736,37.58
1,PL,PO,,PO,25/10/2015,12.266628,24.09
1,PL,PSL,,PSL,25/10/2015,2.612196,5.13
1,PL,RN,KORWiN,,,,
1,PL,SLD,,SLD,25/10/2015,3.84446,7.55
1,PL,ZL(SLD+TR+PPS+UP+PZ),SLD,,,,
1,PL,NO-VOTE,,,,49.08,
1,SE,C,,C,14/09/2014,5.24238,6.11
1,SE,FI,,Fi,14/09/2014,2.67696,3.12
1,SE,KD,,KD,14/09/2014,3.92106,4.57
1,SE,L,,FP,14/09/2014,4.65036,5.42
1,SE,M,,M,14/09/2014,20.01714,23.33
1,SE,MP,,MP,14/09/2014,5.91162,6.89
1,SE,SAP,,SAP,14/09/2014,26.60658,31.01
1,SE,SD,,SD,14/09/2014,11.03388,12.86
1,SE,V,,V,14/09/2014,4.90776,5.72
1,SE,NO-VOTE,,,,14.2,
