"TIME","GEO","GEO_LABEL","S_ADJ","NACE_R2","SIZECLAS","ISCO08","ISCO08_LABEL","INDIC_EM","Value","Flag and Footnotes"
"2017Q1","EU","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC1-3","Managers, professionals, technicians and associate professionals","Number of occupied jobs",":",""
"2017Q1","EU","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC4_5","Clerical support workers, service and sales workers","Number of occupied jobs",":",""
"2017Q1","EU","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC6_7","Skilled agricultural, forestry and fishery workers, craft and related trades workers","Number of occupied jobs",":",""
"2017Q1","EU","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC8_9","Plant and machine operators and assemblers, elementary occupations","Number of occupied jobs",":",""
"2017Q1","EU27_2020","European Union - 27 countries (from 2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC1-3","Managers, professionals, technicians and associate professionals","Number of occupied jobs",":",""
"2017Q1","EU27_2020","European Union - 27 countries (from 2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC4_5","Clerical support workers, service and sales workers","Number of occupied jobs",":",""
"2017Q1","EU27_2020","European Union - 27 countries (from 2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC6_7","Skilled agricultural, forestry and fishery workers, craft and related trades workers","Number of occupied jobs",":",""
"2017Q1","EU27_2020","European Union - 27 countries (from 2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC8_9","Plant and machine operators and assemblers, elementary occupations","Number of occupied jobs",":",""
"2017Q1","EU28","European Union - 28 countries (2013-2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC1-3","Managers, professionals, technicians and associate professionals","Number of occupied jobs",":",""
"2017Q1","EU28","European Union - 28 countries (2013-2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","OC4_5","Clerical support workers, service and sales workers","Number of occupied jobs",":",""
